Symbol,Name,Last,Change,%Chg,High,Low,Volume,Avg Vol,Time
FTCH,Farfetch Ltd Cl A,52.03,2.34,4.71%,52.44,48.65,20596300,12957625,4/6/2021
BSET,Bassett Furniture,25.42,1.14,4.70%,25.9,24.28,83900,85710,4/6/2021
LITB,Lightinthebox Holding Co. Ltd,2.9,0.13,4.69%,2.93,2.74,167600,565690,4/6/2021
JMIA,Jumia Technologies Ag ADR,38.61,1.73,4.69%,40.37,36.52,6740000,8598795,4/6/2021
LIZI,Lizhi Inc ADR,8.92,0.4,4.69%,9.51,8.32,1769800,6745830,4/6/2021
ODT,Odonate Therapeutics Inc,3.46,0.15,4.69%,3.65,3.16,4593400,3546755,4/6/2021
GRIN,Grindrod Shipping Holdings Ltd,7.38,0.33,4.68%,7.46,7.12,71900,33720,4/6/2021
BAP,Credicorp Ltd,146.55,6.54,4.67%,146.77,138.96,547200,379015,4/6/2021
SID,Companhia Siderurgica Nacional,6.98,0.31,4.65%,7.05,6.86,3253200,4034640,4/6/2021
QUAD,Quad Graphics Inc,3.83,0.17,4.64%,3.83,3.63,213600,362770,4/6/2021
FREQ,Frequency Therapeutics Inc,10.06,0.44,4.63%,10.37,9.41,1743700,2779135,4/6/2021
ICAD,Icad Inc,20.82,0.92,4.62%,21.24,19.89,258500,222665,4/6/2021
PBI,Pitney Bowes Inc,8.61,0.38,4.62%,8.92,8.23,1990100,2611555,4/6/2021
NCLH,Norwegian Cruise Ord,31.08,1.37,4.61%,31.57,29.81,33044700,21598051,4/6/2021
HL,Hecla Mining Company,6.16,0.27,4.58%,6.28,6,7364600,8320750,4/6/2021
WORX,Scworx Corp,2.06,0.09,4.57%,2.14,1.88,420400,836125,4/6/2021
BOXL,Boxlight Corp Cl A,2.65,0.12,4.54%,2.71,2.5,3014500,4907955,4/6/2021
AG,First Majestic Silver,16.95,0.73,4.50%,17.34,16.45,4237800,3817045,4/6/2021
ATEC,Alphatec Holdings,16.03,0.69,4.50%,16.68,15.27,789900,853730,4/6/2021
BLIN,Bridgeline Digital,3.02,0.13,4.50%,3.08,2.84,120300,299895,4/6/2021
AFYA,Afya Ltd Cl A,20.48,0.88,4.49%,20.52,19.63,125100,169355,4/6/2021
SWKH,Swk Holdings Corp,15.62,0.67,4.48%,15.89,15.36,59300,10205,4/6/2021
ETSY,Etsy Inc,206.01,8.81,4.47%,208.57,197.31,3038800,3136540,4/6/2021
HTOO,Fusion Fuel Green Plc,13.44,0.57,4.43%,13.5,12.84,74900,270855,4/6/2021
CLII,Climate Real Impact I Acquisition Corp,13.68,0.58,4.43%,13.96,13.1,670700,1078590,4/6/2021
Downloaded from Barchart.com as of 04-06-2021 11:39pm CDT,,,,,,,,,
